TargetID,ProbeID,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,A1,SYMBOL,DEFINITION,GID
ILMN_158942,2,106.5,130.2,88.8,97.9,106,88.1,121.5,85.4,124.1,114,99.4,79.4,87.3,88.1,105.8,108.9,b,"Drosophila melanogaster black CG7811-RA (b), mRNA.",24584202
ILMN_143795,3,1347,2042.9,1562.8,3159.8,2332.5,1905.3,2424.5,2530.5,1910.6,1591.2,2671.6,2027.1,1365.1,2487.8,1886.2,2933.5,Fas2,"Drosophila melanogaster Fasciclin 2 CG3665-RC, transcript variant C (Fas2), mRNA.",24639638
ILMN_145089,10,147.9,163.5,109.9,156.7,170.5,116.9,141.7,115,197.6,134.7,143.8,112.1,118.5,162.3,121.7,140.6,por,"Drosophila melanogaster porcupine CG6205-RA (por), mRNA.",19550066
ILMN_146810,20,6584,7034.9,5701,9202.6,8747.1,7378.5,8421.6,7110.6,9300.7,6204.8,8430.2,6853.8,6156.6,8951.9,7144.3,6861.1,l(2)37Cc,"Drosophila melanogaster lethal (2) 37Cc CG10691-RA, transcript variant A (l(2)37Cc), mRNA.",24585144
ILMN_157845,21,620.5,854.9,492.2,974.8,947.6,696.2,859.3,680.9,1039.8,594.8,881.1,642.5,592.6,1112.1,696.8,884.6,Pc,"Drosophila melanogaster Polycomb CG32443-RA (Pc), mRNA.",24668002
ILMN_145304,23,439.7,730,508.8,803.6,621.8,664.6,751.6,712.5,435.6,677.8,756.7,638.5,620.3,827.2,605.5,789,mirr,"Drosophila melanogaster mirror CG10601-RB, transcript variant B (mirr), mRNA.",24663395
ILMN_152280,28,58.5,65.1,62.6,56.6,56.7,51.5,54.9,50.5,57.1,66.8,54.3,51.7,59.5,52.9,52.2,69.3,tsg,"Drosophila melanogaster twisted gastrulation CG1502-RA (tsg), mRNA.",24641461
ILMN_142629,31,1475.6,1618.9,1066.3,1994,2029.6,1475.2,1721.1,1311.7,2287.3,1191,1830.6,1344.5,1244,2094.9,1432,1774.5,Iap2,"Drosophila melanogaster Inhibitor of apoptosis 2 CG8293-RB, transcript variant B (Iap2), mRNA.",28573796
ILMN_150845,33,335.3,455.7,232.6,350.8,554.9,319.8,388.9,304.9,549.4,317.5,410.8,220.5,317.6,473.1,249.7,324.3,PP2A-B',"Drosophila melanogaster PP2A-B' CG7913-RA, transcript variant A (PP2A-B'), mRNA.",24647846
ILMN_157054,36,287.7,285.5,413.5,639.4,372.5,319.6,504.6,498.2,353.4,267.5,514.3,457.8,263.3,316.6,484,621,CG11183,"Drosophila melanogaster CG11183-RA (CG11183), mRNA.",22026940
ILMN_153583,38,113.5,154.9,105.6,131.3,118.8,109.7,116.2,107.6,149.9,144.8,95.5,91.6,87.6,124.2,107.6,146.8,Alp23B,"Drosophila melanogaster Activin Like Protein at 23B CG16987-RB, transcript variant B (Alp23B), mRNA.",24581232
ILMN_149458,40,490.2,504.9,344.7,614.9,581.6,415.2,549.9,451,699,513.4,526.4,482.5,455.7,558.3,475.4,490.3,nej,"Drosophila melanogaster nejire CG15319-RB (nej), mRNA.",24640864
ILMN_145908,41,289.2,283.8,259.4,457.7,348.4,184.1,364.8,325.5,426.3,218.3,355.9,328.9,243.5,248.2,299,439.5,CG14301,"Drosophila melanogaster CG14301-RA (CG14301), mRNA.",24648005
ILMN_157168,42,875.7,1132.1,795.9,1816.2,1207.8,646.3,1694.6,1153.2,1524.6,601.7,1563.6,1299.4,691.2,1326.4,1174.1,1339.6,put,"Drosophila melanogaster punt CG7904-RA (put), mRNA.",24646870
ILMN_149753,44,1702.4,1979.9,960.7,1533.8,2318.5,1707.3,1725.3,1292.3,2920.8,1174.5,1840.2,1611.8,1599.9,3185.7,1053.2,1297.9,cnc,"Drosophila melanogaster cap-n-collar CG17894-RG, transcript variant G (cnc), mRNA.",24649247
ILMN_148565,50,15105.6,13147.2,11854.9,18705.8,20563.7,14216.3,17632.6,16259.3,21808.1,11583.1,18402.6,14079.2,13261.7,16401.4,14392.5,11946.6,RpL19,"Drosophila melanogaster Ribosomal protein L19 CG2746-RA, transcript variant A (RpL19), mRNA.",45549023
ILMN_158556,54,1329.7,1486.3,896.2,1900.3,1853.9,1324.6,1618.6,1210.7,1895,1219.9,1598.2,1303.4,1233.2,1723.4,1360.8,1429.1,Pk92B,"Drosophila melanogaster Protein kinase at 92B CG4720-RA, transcript variant A (Pk92B), mRNA.",24648283
ILMN_157808,61,174.8,198.1,124,192.2,227.9,109.8,181.7,140.9,262.4,150.2,158.1,152.3,141.2,173.5,148.5,179.1,CG7097,"Drosophila melanogaster CG7097-RA, transcript variant A (CG7097), mRNA.",45551121
ILMN_148961,62,71.7,80.1,73.5,69.5,70.2,60.3,70,69.2,76.5,66.7,57.9,74.5,64.1,62.6,64.3,86.3,mnb,"Drosophila melanogaster minibrain CG7826-RD, transcript variant D (mnb), mRNA.",62473809
ILMN_145404,63,274.5,398.4,185.7,428.3,346.2,224.6,302.1,246.2,385.3,238.8,344.6,229,219.4,372.3,251.4,450.6,sktl,"Drosophila melanogaster skittles CG9985-RA (sktl), mRNA.",24656492
ILMN_151952,67,2932.1,3438.7,2273.6,4706.5,3951.9,2102,3986.8,2999.8,5154.4,2105.5,3762.7,3105.5,2348.6,3780.9,3201.6,3427.3,Rtnl1,"Drosophila melanogaster Rtnl1 CG33113-RF, transcript variant F (Rtnl1), mRNA.",28574659
ILMN_140377,69,344.7,502.5,285.8,575,419.2,351.8,469.7,385.1,524.3,362.6,523.1,373.1,299.6,531.6,396.7,368.5,CG17219,"Drosophila melanogaster CG17219-RA (CG17219), mRNA.",28574016
ILMN_155927,70,446.8,410.4,237.1,425,554.4,423.7,327.5,307.1,593.2,401.8,377.4,297.5,367.1,421.8,280,370.5,rasp,"Drosophila melanogaster rasp CG11495-RA (rasp), mRNA.",24656506
