GENE_NAME,GENE_SYMBOL,FLYBASE_PRIMARY,spot
null,spotting_soln,null,1
CG4027,Act5C,FBgn0000042,2
null,spotting_soln,null,3
null,Ambion_Spike_7,null,4
null,Ambion_Spike_8,null,5
Scer\FLP1,Scer\FLP1,FBgn0014444,6
T:Ecol\lacZ,T:Ecol\lacZ,FBgn0015311,7
null,Arab_Spike_47,null,8
CG14615,CG14615,FBgn0031184,9
CG17108,CG17108,FBgn0032285,10
CG8533,CG8533,FBgn0036907,11
CG1624,dpld,FBgn0015930,12
CG8536,&bgr;4GalTA,FBgn0027538,13
CG8936,Arpc3B,FBgn0065032,14
CG14101,CG14101,FBgn0036905,15
CG8595,Toll-7,FBgn0034476,16
CG2121,CG2121,FBgn0033289,17
CG31612,CG31612,FBgn0051612,18
CG6883,trh,FBgn0003749,19
CG6892,Ets96B,FBgn0039225,20
CG7139,CG7139,FBgn0027532,21
CG4053,CG4053,FBgn0038482,22
CG11958,Cnx99A,FBgn0015622,23
CG6643,CG6643,FBgn0039208,24
CG17304,CG17304,FBgn0038267,25
CG9028,CG9028,FBgn0036389,26
CG5641,CG5641,FBgn0038046,27
CG6131,CG6131,FBgn0039480,28
CG4672,TMS1,FBgn0028399,29
CG15267,CG15267,FBgn0028862,30
CG8291,CG8291,FBgn0034049,31
CG1648,CG1648,FBgn0033446,32
CG32369,CG32369,FBgn0052369,33
CG4153,eIF-2&bgr;,FBgn0004926,34
CG10063,CG10063,FBgn0035727,35
CG33181,CG33181,FBgn0053181,36
CG6194,CG6194,FBgn0038325,37
CG2975,CG2975,FBgn0031468,38
CG15365,CG15365,FBgn0030077,39
CG2574,CG2574,FBgn0030386,40
CG7057,AP-50,FBgn0024832,41
CG17033,CG17033,FBgn0036546,42
CG4577,CG4577,FBgn0031306,43
null,No Amplicon Gene Matches,,44
CG1827,CG1827,FBgn0033431,45
CG7061,rab3-GAP,FBgn0027505,46
CG3203,RpL17,FBgn0029897,47
CG3028,Ipp,FBgn0016672,48
CG4775,l(2)k00619,FBgn0031312,49
CG5180,CG5180,FBgn0043457,50
CG16964,CG16964,FBgn0032385,51
CG7365,CG7365,FBgn0036939,52
CG10303,Osi4,FBgn0037412,53
CG10364,msb1l,FBgn0027949,54
CG4798,l(2)k01209,FBgn0022029,55
CG15594,CG15594,FBgn0037421,56
CG1693,tty,FBgn0015558,57
CG7796,CG7796,FBgn0040847,58
null,Amplicon Hits Multiple Gene Regions,,59
CG4838,beat-Ic,FBgn0028644,60
CG10143,Adgf-E,FBgn0033952,61
CG4847,CG4847,FBgn0034229,62
CG10431,CG10431,FBgn0032730,63
CG4852,Sras,FBgn0029121,64
